id,interior_design_concept,location_zip_code,startup_budget,business_profit_rate,average_review_ratings
629,industrial,95129,44104.6,50.7,1.59
630,art gallery,95103,33339.88,32.24,3.57
631,minimalist,95106,73392.07,24.66,2.23
632,modern,95124,58397.79,84.72,0.11
633,romantic,95121,47012.13,5.12,2.58
634,vintage,95131,74190.11,85.73,0.35
635,romantic,95127,40253.05,29.02,3.04
636,minimalist,95124,39408.81,53.0,1.66
637,art gallery,95138,63891.63,1.36,4.48
638,minimalist,95109,74346.01,38.79,2.29
639,modern,95133,58373.52,27.77,1.75
640,art gallery,95120,74396.43,24.95,3.98
641,art gallery,95110,73287.7,88.95,1.05
642,romantic,95121,63991.38,81.29,2.16
643,romantic,95124,38924.22,49.28,2.64
644,romantic,95129,79302.02,43.9,0.7
645,industrial,95106,37175.3,29.1,1.35
646,minimalist,95129,44706.98,33.31,3.1
647,vintage,95148,63895.69,25.81,4.55
648,modern,95109,50135.97,93.81,3.76
649,industrial,95131,60985.52,30.5,3.89
650,vintage,95106,50296.82,47.57,3.45
651,minimalist,95116,52934.66,14.45,0.33
652,romantic,95121,41114.75,25.67,3.55
653,vintage,95134,64261.63,54.84,1.87
654,art gallery,95123,60548.53,1.84,3.31
655,minimalist,95124,67785.34,56.95,0.64
656,industrial,95126,73478.66,2.3,1.38
657,romantic,95107,56668.38,79.6,2.89
658,minimalist,95139,63798.43,95.63,1.04
659,romantic,95125,67598.59,98.75,0.34
660,romantic,95140,71840.32,48.43,0.02
661,romantic,95127,74626.32,31.01,4.12
662,minimalist,95127,60483.28,93.27,1.27
663,vintage,95116,41039.5,83.93,4.91
664,minimalist,95102,37053.28,7.17,1.31
665,industrial,95113,34700.66,62.68,3.42
666,modern,95112,59239.26,68.31,4.27
667,modern,95119,79010.77,49.39,4.74
668,modern,95108,41895.46,88.23,4.96
669,romantic,95106,70634.73,41.9,0.43
670,minimalist,95139,46715.8,1.21,3.87
671,minimalist,95138,41955.97,62.79,1.03
672,vintage,95119,49987.97,53.15,4.26
673,art gallery,95104,34091.61,56.69,3.36
674,vintage,95106,68651.4,33.54,4.76
675,industrial,95133,39530.44,20.92,3.18
676,art gallery,95139,70296.63,15.9,4.87
677,industrial,95108,41309.58,5.49,4.37
678,romantic,95138,41558.47,14.19,0.53
679,vintage,95120,34469.93,65.07,4.05
680,industrial,95119,38992.88,75.13,0.94
681,art gallery,95107,55137.84,58.88,2.76
682,modern,95102,54846.33,18.42,3.26
683,modern,95102,50732.89,5.72,4.61
684,art gallery,95104,69100.2,28.07,2.18
685,minimalist,95124,74767.23,87.33,1.94
686,modern,95121,73467.87,90.27,1.68
687,art gallery,95134,55154.66,8.35,3.73
688,romantic,95131,61566.58,37.3,1.55
689,art gallery,95117,32186.33,36.3,0.97
690,modern,95113,49248.58,31.98,4.61
691,romantic,95139,35542.95,8.06,2.66
692,vintage,95111,51573.63,26.55,4.76
693,modern,95117,70442.59,14.1,4.44
694,minimalist,95124,72300.05,8.32,3.41
695,romantic,95136,43605.63,59.29,1.06
696,vintage,95122,53113.41,46.4,4.98
697,industrial,95139,78710.27,77.98,3.05
698,vintage,95134,37979.73,29.81,4.19
699,vintage,95123,45290.37,57.82,4.5
700,art gallery,95101,41673.09,18.53,1.34
701,minimalist,95129,75248.93,64.18,0.38
702,modern,95148,31624.54,76.46,0.46
703,romantic,95139,30271.04,61.34,4.57
704,minimalist,95135,73349.63,51.18,4.33
705,art gallery,95106,32837.54,82.81,2.88
706,vintage,95106,76970.05,33.9,4.62
707,minimalist,95110,37004.85,77.84,4.13
708,romantic,95132,75500.38,92.8,4.43
709,minimalist,95104,42647.08,75.86,3.4
710,modern,95104,30715.69,40.46,1.67
711,vintage,95125,72052.44,54.85,3.74
712,industrial,95126,36650.12,57.8,3.98
713,vintage,95102,47863.95,2.35,3.02
714,industrial,95132,47521.99,72.92,0.66
715,modern,95101,73381.49,19.91,4.77
716,romantic,95124,65877.88,13.18,4.63
717,minimalist,95128,42685.55,17.98,4.87
718,romantic,95136,61650.75,98.05,0.91
719,romantic,95117,79708.67,47.72,1.76
720,vintage,95112,79978.64,93.06,0.24
721,industrial,95101,33102.49,64.15,1.13
722,art gallery,95136,53057.35,24.6,2.11
723,industrial,95139,41161.33,76.15,2.64
724,vintage,95119,53735.16,91.91,2.84
725,romantic,95101,76187.93,71.36,1.26
726,modern,95126,51148.57,49.63,4.39
727,vintage,95104,51699.75,75.85,4.3
728,minimalist,95108,70128.81,4.34,1.39
729,vintage,95118,31800.79,84.16,4.23
730,romantic,95127,72620.55,51.22,3.66
731,modern,95139,77085.38,47.93,4.66
732,art gallery,95118,60969.24,83.15,4.8
733,minimalist,95131,47271.26,39.71,4.35
734,vintage,95105,41828.96,98.06,4.77
735,minimalist,95136,59637.15,12.15,3.51
736,vintage,95123,45111.94,43.36,2.18
737,vintage,95131,50266.32,39.58,4.31
738,romantic,95148,36371.72,83.37,2.13
739,modern,95119,62872.47,56.84,2.83
740,modern,95124,60869.83,6.17,4.19
741,art gallery,95120,77642.6,9.96,3.73
742,industrial,95132,39260.38,89.58,1.47
743,minimalist,95148,52669.34,40.59,4.59
744,vintage,95127,74855.01,92.83,1.89
745,modern,95106,52146.01,15.09,3.41
746,art gallery,95121,70267.38,73.51,3.31
747,industrial,95122,63128.5,10.2,0.96
748,romantic,95127,69526.72,94.09,2.04
749,modern,95105,65244.61,84.01,1.68
750,romantic,95132,54312.07,24.95,0.37
751,industrial,95117,41254.45,90.8,3.59
752,modern,95124,42319.17,43.16,2.08
753,industrial,95107,79046.81,72.12,1.34
754,romantic,95132,56631.92,93.41,1.31
755,modern,95128,71790.72,27.63,2.5
756,romantic,95126,74097.61,93.69,3.15
757,art gallery,95140,38085.97,14.48,2.66
758,art gallery,95113,61837.64,16.31,2.27
759,romantic,95109,76589.74,79.54,3.49
760,art gallery,95110,72334.2,93.1,4.35
761,modern,95125,75229.52,31.18,1.17
762,modern,95129,42788.67,39.21,0.26
763,industrial,95104,31676.66,93.24,2.39
764,modern,95105,44227.63,13.38,0.49
765,art gallery,95128,50385.54,99.3,4.1
766,industrial,95103,59815.0,85.54,2.17
767,industrial,95120,41703.66,59.69,1.4
768,romantic,95128,41412.1,2.09,2.47
769,modern,95148,75295.3,43.02,3.86
770,minimalist,95113,61553.45,70.9,1.22
771,minimalist,95113,31657.32,96.24,1.81
772,art gallery,95138,34909.52,7.12,1.58
773,modern,95103,62202.54,84.11,4.18
774,romantic,95122,30610.55,98.01,0.18
775,vintage,95113,75524.02,64.43,1.85
776,romantic,95103,56091.25,6.07,3.63
777,modern,95136,41215.68,84.75,0.1
778,vintage,95134,48052.12,82.62,1.29
779,art gallery,95123,54751.04,81.8,0.55
780,minimalist,95119,55336.42,34.94,3.32
781,art gallery,95117,40157.85,37.35,2.45
782,modern,95148,43535.7,55.23,0.82
783,industrial,95106,48153.4,87.09,0.96
784,romantic,95118,43376.4,63.68,0.05
785,modern,95102,79642.84,60.11,1.23
786,vintage,95103,50723.24,38.6,0.81
787,art gallery,95106,47598.54,84.9,3.94
788,vintage,95128,47043.21,89.22,1.74
789,romantic,95105,49451.54,66.82,3.02
790,minimalist,95107,73002.98,2.8,4.69
791,industrial,95120,67885.54,51.24,2.56
792,romantic,95121,49324.26,97.17,4.48
793,industrial,95132,38892.9,5.78,3.55
794,romantic,95118,67753.68,64.28,1.17
795,art gallery,95121,70996.14,65.95,3.78
796,vintage,95112,54195.73,63.02,3.82
797,modern,95138,49884.29,97.89,0.27
798,romantic,95110,68590.85,74.28,3.2
799,minimalist,95121,75539.05,93.87,1.63
800,minimalist,95122,75050.38,61.48,2.59
801,art gallery,95124,64946.88,70.09,0.68
802,art gallery,95140,50737.28,85.16,4.91
803,industrial,95140,59513.38,10.51,0.23
804,art gallery,95148,65546.35,23.05,3.24
805,vintage,95119,51668.26,44.42,4.41
806,art gallery,95101,62704.27,37.66,0.71
807,minimalist,95122,34522.22,84.73,3.16
808,romantic,95132,71248.06,20.45,4.17
809,romantic,95113,54291.94,27.82,1.54
810,industrial,95131,65143.09,78.58,4.2
811,vintage,95148,52083.09,95.14,0.55
812,minimalist,95139,46784.39,45.81,2.28
813,minimalist,95118,66057.98,91.94,2.04
814,modern,95135,53857.21,75.2,1.14
815,romantic,95120,76360.29,99.3,0.2
816,industrial,95133,35325.41,71.13,4.33
817,minimalist,95102,79355.11,19.03,2.01
818,vintage,95139,72131.71,79.06,0.73
819,art gallery,95129,57457.32,74.37,2.1
820,minimalist,95104,59727.28,60.89,4.93
821,art gallery,95123,42368.42,10.04,0.32
822,industrial,95109,34566.67,5.64,1.54
823,art gallery,95135,42644.73,48.28,0.48
824,industrial,95132,76898.32,2.02,4.71
825,industrial,95121,49731.78,67.28,1.72
826,vintage,95135,71618.5,27.97,1.65
827,minimalist,95105,42440.38,84.35,1.99
828,vintage,95106,31407.51,88.97,2.35
829,vintage,95122,75529.4,51.04,0.84
830,art gallery,95132,49672.2,31.84,1.37
831,vintage,95105,48742.31,33.83,4.23
832,industrial,95138,54404.28,6.61,3.77
833,vintage,95129,70811.45,96.56,3.62
834,vintage,95140,38191.14,24.97,4.69
835,minimalist,95125,42785.79,98.48,3.2
836,modern,95109,58587.95,78.22,2.85
837,industrial,95135,38325.56,10.69,1.39
838,vintage,95123,47724.46,13.78,4.99
839,art gallery,95107,35447.41,94.24,2.98
840,vintage,95109,76247.19,30.11,0.84
841,art gallery,95121,63473.41,8.03,1.82
842,vintage,95113,50697.52,25.46,2.25
843,minimalist,95129,47009.65,4.01,4.23
844,vintage,95126,43544.23,67.76,0.18
845,romantic,95138,62065.66,54.95,3.37
846,minimalist,95117,40410.8,24.33,2.82
847,modern,95111,30422.86,47.69,3.46
848,vintage,95111,41459.19,12.99,0.93
849,art gallery,95119,71499.7,33.47,1.06
850,industrial,95106,64242.5,42.8,1.36
851,minimalist,95129,51349.71,43.62,1.96
852,romantic,95132,34073.89,96.35,4.81
853,modern,95148,50726.81,66.6,2.96
854,romantic,95104,76831.25,44.65,1.34
855,minimalist,95113,39833.03,13.64,3.52
856,industrial,95138,62382.5,14.21,2.88
857,art gallery,95127,46494.67,0.67,4.72
858,art gallery,95116,41751.05,45.96,1.24
859,romantic,95122,40197.59,56.25,3.41
860,minimalist,95148,75533.27,85.27,5.0
861,art gallery,95101,49481.16,91.88,3.19
862,art gallery,95128,72220.21,6.88,1.51
863,art gallery,95128,40842.71,70.15,0.51
864,industrial,95112,48264.71,61.84,4.51
865,vintage,95106,74948.55,65.73,0.85
866,romantic,95135,69097.82,99.37,0.46
867,romantic,95111,52460.71,93.16,2.16
868,industrial,95140,56274.62,11.79,2.37
869,romantic,95134,41236.08,32.9,0.65
870,modern,95118,31285.02,1.95,4.0
871,vintage,95117,67280.84,84.35,3.57
872,modern,95120,72463.51,34.78,4.99
873,industrial,95119,33604.62,46.85,2.72
874,vintage,95127,42761.23,79.63,3.21
875,modern,95120,64227.99,93.56,3.89
876,industrial,95112,75245.67,99.16,0.28
877,romantic,95112,31627.48,72.58,0.33
878,art gallery,95119,56087.22,50.52,1.97
879,art gallery,95134,40422.15,68.69,3.29
880,minimalist,95116,34818.91,67.49,2.42
881,vintage,95103,33310.72,14.57,3.93
882,art gallery,95107,49063.39,16.36,2.97
883,industrial,95104,65017.09,21.9,0.23
884,industrial,95122,42181.87,29.55,0.29
885,art gallery,95104,57202.41,21.89,0.86
886,art gallery,95117,43437.69,23.48,1.62
887,vintage,95109,55871.6,57.87,1.48
888,romantic,95111,40174.41,31.84,2.59
889,vintage,95119,41418.67,82.29,3.04
890,industrial,95133,52058.42,68.53,1.11
891,vintage,95124,70485.17,9.54,2.37
892,industrial,95128,69676.48,16.16,3.65
893,industrial,95104,36457.26,55.97,4.97
894,minimalist,95135,49005.02,24.28,1.16
895,modern,95103,37840.54,34.05,3.16
896,modern,95135,35543.88,70.86,0.4
897,industrial,95102,73547.18,4.31,2.18
898,modern,95131,45630.31,60.03,0.56
899,industrial,95136,56694.4,34.81,1.25
900,art gallery,95105,77005.27,7.7,3.89
901,modern,95113,69305.62,82.13,4.43
902,art gallery,95118,59226.36,73.4,3.91
903,industrial,95132,36302.91,54.65,4.82
904,modern,95104,59494.45,24.47,2.6
905,romantic,95116,50270.03,95.92,0.29
906,modern,95129,54679.32,44.02,1.01
907,vintage,95101,79862.08,42.44,4.73
908,romantic,95131,34230.14,87.79,0.06
909,industrial,95119,54380.24,82.86,0.76
910,vintage,95105,78511.49,89.59,2.72
911,modern,95132,34291.64,60.48,0.52
912,art gallery,95112,33905.43,73.85,0.85
913,vintage,95127,71898.7,6.51,2.28
914,vintage,95135,61267.53,3.62,1.05
915,art gallery,95103,70021.4,95.18,0.03
916,romantic,95108,48072.89,3.34,2.76
917,industrial,95107,30768.28,95.58,1.34
918,vintage,95113,48540.16,29.02,4.74
919,industrial,95139,52407.65,88.43,1.63
920,vintage,95107,61209.53,59.55,3.81
921,minimalist,95105,30459.23,68.78,4.76
922,industrial,95121,31640.6,71.2,2.26
923,art gallery,95111,68406.27,77.05,1.18
924,romantic,95127,55642.56,48.83,0.97
925,minimalist,95107,66991.49,21.71,1.37
926,art gallery,95133,46337.06,86.06,4.47
927,art gallery,95119,69376.03,31.66,4.24
928,industrial,95101,69411.71,67.11,1.97
929,industrial,95119,55617.99,3.45,3.81
930,modern,95135,75435.33,3.55,2.4
931,minimalist,95104,54939.3,79.68,0.46
932,modern,95123,33171.87,16.25,0.11
933,vintage,95102,52471.9,30.88,3.22
934,industrial,95131,68940.54,13.42,2.08
935,romantic,95134,58855.91,58.86,4.51
936,industrial,95109,59762.03,50.53,3.26
937,industrial,95102,60676.95,61.52,0.79
938,modern,95112,78800.5,75.51,0.23
939,romantic,95102,37065.87,60.18,1.34
940,art gallery,95117,70753.85,99.74,4.79
941,industrial,95131,67468.77,61.17,4.4
942,modern,95110,30038.22,62.7,0.69
943,minimalist,95107,52551.62,50.18,1.18
944,art gallery,95126,70618.37,14.45,2.65
945,minimalist,95131,36307.44,61.02,0.21
946,romantic,95125,50328.79,13.19,2.46
947,minimalist,95119,30742.76,32.52,4.35
948,modern,95108,77372.54,34.3,2.98
949,modern,95117,51781.36,66.85,2.81
950,minimalist,95120,69102.82,94.38,3.73
951,romantic,95136,53530.57,77.46,0.42
952,romantic,95120,67026.3,71.09,0.29
953,industrial,95112,48175.94,2.89,0.52
954,art gallery,95148,66643.12,95.31,2.21
955,minimalist,95125,64251.06,90.54,1.73
956,industrial,95102,67598.65,58.76,1.64
957,art gallery,95109,56610.45,44.17,0.84
958,romantic,95117,67300.34,1.2,1.9
959,industrial,95111,76273.71,39.86,1.01
960,industrial,95124,38498.59,30.35,4.72
961,romantic,95116,55589.44,54.54,3.76
962,vintage,95106,48330.07,26.97,3.34
963,art gallery,95124,56362.43,66.68,1.56
964,art gallery,95101,57802.79,53.0,2.1
965,romantic,95135,43179.68,30.76,1.55
966,romantic,95104,55892.91,23.63,0.45
967,romantic,95132,70104.55,44.3,2.95
968,modern,95101,63086.27,21.92,1.25
969,art gallery,95101,52544.23,75.86,3.35
970,modern,95124,75216.28,74.56,3.61
971,art gallery,95106,57149.77,26.07,4.02
972,modern,95148,58482.28,75.07,4.78
973,art gallery,95133,36377.31,42.66,1.1
974,minimalist,95109,78886.41,94.67,3.54
975,art gallery,95111,60604.89,49.83,3.68
976,vintage,95121,57592.63,14.7,4.92
977,art gallery,95122,63022.04,30.58,0.94
978,romantic,95111,44017.51,8.14,4.45
979,vintage,95136,40864.26,52.64,1.91
980,art gallery,95148,55135.73,66.28,4.66
981,art gallery,95119,44546.65,47.16,3.88
982,art gallery,95138,55959.27,78.92,3.58
983,industrial,95140,33063.24,82.96,1.72
984,industrial,95132,64137.14,69.06,3.52
985,romantic,95108,54578.95,74.43,3.49
986,art gallery,95117,70933.74,88.15,0.58
987,art gallery,95119,41597.27,56.54,3.99
988,minimalist,95140,56101.84,9.82,3.61
989,minimalist,95122,59868.04,13.42,1.82
990,minimalist,95102,42953.99,73.14,0.87
991,romantic,95110,78885.8,60.51,0.09
992,minimalist,95109,40418.8,73.85,2.58
993,industrial,95102,30659.94,98.63,4.18
994,minimalist,95135,37597.67,92.22,3.35
995,modern,95112,32841.87,5.98,1.17
996,romantic,95102,70985.36,29.58,1.93
997,modern,95128,53493.28,7.59,0.93
998,industrial,95113,34332.06,3.02,1.19
999,art gallery,95133,58221.55,42.35,0.88
1000,modern,95136,62242.14,0.72,4.07
1001,romantic,95104,60767.56,83.2,0.17
1002,industrial,95102,30810.23,87.75,4.97
1003,vintage,95121,67980.48,16.7,4.97
1004,modern,95116,51548.34,74.22,4.74
1005,modern,95126,69031.63,73.75,3.74
1006,vintage,95132,73062.23,29.56,2.43
1007,modern,95103,77422.69,14.66,3.54
1008,industrial,95132,57837.67,16.82,3.95
1009,romantic,95123,45978.53,26.18,1.51
1010,modern,95128,64706.19,73.98,3.03
1011,minimalist,95138,36107.86,15.54,0.98
1012,romantic,95129,45512.55,27.87,2.65
1013,industrial,95133,53863.07,76.83,4.82
1014,industrial,95131,59421.59,24.68,2.12
1015,modern,95117,73330.22,55.83,4.05
1016,vintage,95127,39707.9,54.18,3.8
1017,romantic,95135,30323.11,74.05,4.27
1018,industrial,95128,49261.98,76.14,0.47
1019,art gallery,95108,55759.14,16.18,1.9
1020,vintage,95120,51150.99,82.96,2.31
1021,art gallery,95108,45195.3,17.47,3.03
1022,industrial,95101,47862.67,54.5,1.99
1023,art gallery,95107,70195.17,96.72,3.24
1024,art gallery,95125,72271.17,75.22,1.26
1025,minimalist,95109,40115.38,95.21,4.56
1026,industrial,95109,72773.38,5.95,0.56
1027,romantic,95119,66913.63,16.39,2.59
1028,vintage,95102,79235.69,45.87,4.94
1029,modern,95121,78811.92,42.39,4.69
1030,romantic,95129,71613.47,15.99,3.89
1031,modern,95118,46344.71,7.99,2.23
1032,modern,95106,51255.81,59.14,2.73
1033,vintage,95127,44411.81,51.92,1.83
1034,modern,95101,55133.42,26.4,2.69
1035,art gallery,95148,77102.76,29.05,2.89
1036,romantic,95106,55107.84,36.15,4.61
1037,minimalist,95112,58705.72,1.67,1.21
1038,modern,95148,68902.48,95.32,0.09
1039,industrial,95102,43974.51,45.1,0.45
1040,minimalist,95133,69126.36,4.57,0.48
1041,minimalist,95111,57137.51,40.53,2.42
1042,art gallery,95123,55212.83,3.24,3.37
1043,industrial,95123,46549.05,94.25,1.35
1044,romantic,95112,55932.91,8.28,1.12
1045,art gallery,95113,44122.53,96.06,2.22
1046,modern,95122,38606.39,18.03,2.59
1047,industrial,95135,68058.76,83.95,1.78
1048,minimalist,95125,72320.75,45.93,4.61
1049,vintage,95148,46984.18,5.69,0.78
1050,art gallery,95138,72869.02,4.89,4.04
1051,art gallery,95125,69028.29,66.33,4.99
1052,romantic,95101,33593.07,91.33,1.82
1053,industrial,95140,49788.1,81.53,4.69
1054,vintage,95105,63914.73,1.69,3.93
1055,industrial,95128,55993.84,12.06,4.81
1056,romantic,95102,57627.52,12.92,1.29
1057,modern,95108,72186.1,2.77,1.4
1058,vintage,95140,60305.7,38.81,0.23
1059,vintage,95135,51502.3,99.48,4.25
1060,modern,95140,55696.07,49.54,3.5
1061,romantic,95124,45690.03,55.86,4.39
1062,minimalist,95122,52634.13,35.3,2.76
1063,art gallery,95134,50695.42,63.99,2.48
1064,industrial,95118,58573.81,6.94,2.04
1065,industrial,95125,78990.04,14.58,0.2
1066,minimalist,95110,56617.41,38.08,3.19
1067,modern,95131,43753.22,39.3,0.44
1068,romantic,95120,48955.57,2.72,2.62
1069,art gallery,95110,38092.41,56.49,1.35
1070,modern,95108,44483.85,28.48,4.43
1071,minimalist,95106,42603.34,28.97,1.91
1072,modern,95107,40289.95,15.27,0.31
1073,art gallery,95119,52002.48,46.57,4.32
1074,minimalist,95101,59728.67,92.81,4.05
1075,romantic,95134,55341.79,56.6,1.18
1076,minimalist,95134,62330.4,49.25,1.62
1077,minimalist,95122,59953.39,48.19,2.56
1078,industrial,95121,41446.93,83.55,1.16
1079,industrial,95102,79796.87,57.69,1.7
1080,modern,95131,48950.37,79.22,0.99
1081,minimalist,95103,40227.71,19.46,1.14
1082,art gallery,95133,54016.43,48.55,2.89
1083,modern,95106,54916.02,95.36,0.58
1084,minimalist,95133,31385.81,74.66,0.1
1085,art gallery,95113,46513.53,74.67,4.56
1086,modern,95128,69680.41,58.27,4.05
1087,art gallery,95118,33656.97,16.76,4.1
1088,minimalist,95133,51479.22,68.35,4.39
1089,modern,95140,56090.44,89.59,1.83
1090,art gallery,95112,39098.51,24.6,4.97
1091,art gallery,95101,66272.25,48.91,2.63
1092,modern,95106,71756.78,88.74,4.9
1093,modern,95107,41212.83,56.47,3.47
1094,industrial,95140,41516.84,80.47,0.22
1095,industrial,95134,32551.36,28.08,3.35
1096,romantic,95124,75047.21,88.94,1.02
1097,romantic,95104,63955.66,70.99,1.8
1098,art gallery,95112,61565.86,53.47,3.29
1099,industrial,95103,31609.77,7.31,2.68
1100,romantic,95131,74031.25,85.92,1.16
1101,art gallery,95121,57804.27,53.75,1.94
1102,industrial,95105,62988.4,77.92,2.57
1103,vintage,95106,74066.65,22.2,2.74
1104,modern,95132,61709.0,13.0,4.39
1105,modern,95133,79532.49,33.58,2.51
1106,industrial,95108,50226.55,75.01,2.8
1107,industrial,95107,40799.46,62.27,4.28
1108,modern,95107,52993.89,76.81,1.18
1109,modern,95122,73499.45,18.29,4.11
1110,art gallery,95104,30140.49,87.49,2.26
1111,modern,95110,54347.34,48.87,4.06
1112,minimalist,95118,48207.34,63.97,2.73
1113,romantic,95140,43057.61,32.43,0.77
1114,minimalist,95110,49718.45,56.46,4.38
1115,vintage,95134,71198.5,78.31,2.31
1116,romantic,95125,73789.28,76.45,2.18
1117,minimalist,95113,30824.19,98.11,1.01
1118,industrial,95121,30392.4,4.99,0.55
1119,industrial,95124,57280.1,22.57,0.65
1120,vintage,95127,43349.66,21.52,0.43
1121,art gallery,95133,37350.86,52.63,2.61
1122,vintage,95106,53796.85,74.15,0.41
1123,romantic,95103,77089.1,1.14,0.31
1124,art gallery,95101,41451.84,75.44,1.28
1125,industrial,95127,74775.54,84.93,1.77
1126,art gallery,95113,46368.19,39.63,4.26
1127,art gallery,95113,34568.19,74.18,0.43
1128,minimalist,95102,65142.95,83.8,3.23
1129,vintage,95134,32333.59,21.18,0.08
1130,vintage,95131,48098.33,4.37,2.56
1131,industrial,95122,51125.9,28.69,4.28
1132,industrial,95125,76820.51,77.93,0.83
1133,romantic,95138,76385.72,86.39,1.79
1134,minimalist,95106,53909.84,80.11,2.48
1135,romantic,95136,51429.81,68.52,2.35
1136,industrial,95128,69766.59,60.58,0.3
1137,vintage,95131,48729.55,25.78,3.2
1138,vintage,95101,78232.66,98.4,0.84
1139,industrial,95127,68589.68,36.37,3.98
1140,industrial,95139,57931.25,36.86,1.9
1141,art gallery,95123,45175.13,52.69,2.64
1142,industrial,95134,66213.1,15.54,1.03
1143,art gallery,95116,68193.75,90.2,0.72
1144,romantic,95112,70828.92,85.35,3.49
1145,art gallery,95101,69574.02,2.28,4.12
1146,vintage,95101,39643.8,30.44,2.38
1147,modern,95139,55022.91,52.45,4.94
1148,romantic,95132,44321.19,46.98,3.07
1149,romantic,95101,77538.38,43.91,1.18
1150,industrial,95124,32415.18,7.87,0.28
1151,industrial,95123,38918.01,7.3,1.77
1152,vintage,95120,31094.08,70.93,0.06
1153,modern,95134,66893.49,52.62,4.02
1154,modern,95134,37733.12,23.56,1.44
1155,vintage,95121,36086.82,26.02,3.33
1156,art gallery,95131,35101.06,89.19,3.28
1157,minimalist,95148,64441.47,97.56,1.32
1158,romantic,95111,76283.08,0.71,2.19
1159,art gallery,95109,43862.6,93.88,1.48
1160,modern,95126,32739.54,88.78,1.78
1161,modern,95135,76176.3,44.39,1.4
1162,minimalist,95134,59486.82,67.59,1.51
1163,minimalist,95119,42462.98,98.2,4.77
1164,modern,95121,41320.97,62.1,2.42
1165,industrial,95121,49599.9,75.33,3.15
1166,industrial,95111,47451.43,36.38,3.22
1167,vintage,95121,66417.49,2.08,1.25
1168,romantic,95112,60563.74,51.94,3.22
1169,vintage,95118,71715.72,18.93,3.0
1170,vintage,95148,30001.94,11.99,4.44
1171,vintage,95117,75474.44,10.54,4.31
1172,minimalist,95140,40297.95,50.55,3.14
1173,industrial,95136,35430.93,87.19,4.34
1174,industrial,95108,59510.26,94.55,2.68
1175,modern,95136,64072.42,62.3,0.91
1176,vintage,95148,77552.74,35.64,1.62
1177,art gallery,95117,70687.28,60.99,3.42
1178,industrial,95124,46970.23,45.76,1.15
1179,art gallery,95126,64252.21,12.16,4.06
1180,romantic,95108,75337.73,69.89,4.24
1181,industrial,95119,35464.64,12.31,4.4
1182,vintage,95134,70778.48,57.09,1.88
1183,romantic,95138,79669.95,65.23,1.5
1184,vintage,95108,50540.0,48.31,1.7
1185,minimalist,95121,78839.18,18.37,4.06
1186,romantic,95107,49787.99,62.19,1.86
1187,modern,95112,59694.41,57.69,2.16
1188,minimalist,95132,35107.33,45.73,4.08
1189,modern,95108,42130.55,92.92,2.49
1190,art gallery,95140,75719.98,77.48,2.19
1191,modern,95116,44746.9,50.22,0.07
1192,minimalist,95121,46869.28,66.79,4.43
1193,art gallery,95117,67276.7,53.75,0.79
1194,romantic,95132,78671.2,12.17,4.29
1195,industrial,95113,30504.8,9.02,0.6
1196,modern,95118,50878.13,29.05,3.81
1197,industrial,95106,64594.91,92.67,1.6
1198,romantic,95134,61751.45,30.94,3.5
1199,vintage,95116,53703.93,60.62,3.64
1200,industrial,95132,75745.83,61.07,0.19
1201,art gallery,95105,50363.84,72.46,2.07
1202,minimalist,95136,33901.93,52.18,3.09
1203,romantic,95104,41323.16,83.14,1.19
1204,minimalist,95138,67427.65,78.17,4.16
1205,romantic,95126,39002.24,25.08,1.04
1206,minimalist,95118,46192.27,36.51,3.21
1207,romantic,95117,37696.16,81.63,4.22
1208,art gallery,95116,32612.56,96.14,3.82
1209,modern,95116,64245.56,59.41,0.65
1210,modern,95138,31885.45,58.83,4.91
1211,romantic,95112,68139.34,79.35,3.94
1212,industrial,95109,63205.86,95.43,4.16
1213,vintage,95108,75892.44,72.05,1.83
1214,industrial,95118,50361.68,34.84,1.45
1215,art gallery,95104,43559.15,51.04,4.31
1216,art gallery,95106,65874.2,12.24,2.23
1217,romantic,95136,45066.49,5.98,4.77
1218,minimalist,95121,49897.79,78.44,0.66
1219,vintage,95140,41137.16,11.66,4.11
1220,romantic,95138,74385.11,4.07,4.72
1221,industrial,95134,52491.32,47.04,4.03
1222,minimalist,95120,57043.13,37.07,3.73
1223,vintage,95120,63466.56,63.42,1.13
1224,vintage,95125,41397.2,9.06,3.5
1225,modern,95109,54717.99,33.53,2.46
1226,industrial,95104,57605.06,51.79,1.75
1227,modern,95112,59093.95,37.57,0.59
1228,modern,95110,66645.9,28.74,0.86
1229,art gallery,95124,68037.45,17.0,2.06
1230,modern,95127,50378.09,47.35,1.31
1231,industrial,95103,74671.09,15.87,3.0
1232,minimalist,95106,62158.48,17.43,1.93
1233,vintage,95111,46353.15,53.39,1.47
1234,industrial,95136,50534.78,99.43,3.93
1235,industrial,95139,43223.85,57.46,1.64
1236,industrial,95120,76179.6,56.54,0.54
1237,minimalist,95109,44603.93,92.5,2.06
1238,industrial,95110,71680.03,61.03,1.78
1239,romantic,95113,78103.12,36.97,2.56
1240,romantic,95106,66194.07,13.63,2.22
1241,modern,95128,39666.56,12.17,4.68
1242,modern,95119,50026.12,54.2,1.74
1243,art gallery,95135,73635.43,64.89,1.71
1244,art gallery,95117,40427.5,81.09,1.17
1245,industrial,95148,48796.38,64.56,4.42
1246,vintage,95112,68127.08,64.07,2.41
